Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Entry Criteria,Country,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),CPI
1982-0038-PHL,1982,Natural,Meteorological,Storm,Kill,Philippines (the),151,31,485000,304000,789031,69000,37.74582208
1982-0093-PHL,1982,Natural,Meteorological,Storm,Kill,Philippines (the),70,67,25900,,25967,6500,37.74582208
1982-0101-PHL,1982,Natural,Meteorological,Storm,Kill,Philippines (the),65,26,44383,5599,50008,,37.74582208
1982-0111-PHL,1982,Natural,Meteorological,Storm,Kill,Philippines (the),96,183,51532,12464,64179,32000,37.74582208
1982-0173-PHL,1982,Natural,Meteorological,Storm,Kill,Philippines (the),25,8,23911,1180,25099,2400,37.74582208
1982-0174-PHL,1982,Natural,Meteorological,Storm,Kill,Philippines (the),10,5,11883,431,12319,4500,37.74582208
1982-0175-PHL,1982,Natural,Meteorological,Storm,Kill,Philippines (the),29,40,31522,5365,36927,4200,37.74582208
1982-0176-PHL,1982,Natural,Meteorological,Storm,Govern,Philippines (the),,,41,44,85,5,37.74582208
1982-0029-PHL,1982,Natural,Hydrological,Flood,Kill,Philippines (the),13,,200000,,200000,,37.74582208
1982-0193-PHL,1982,Natural,Hydrological,Flood,Affect,Philippines (the),2,232,,,232,,37.74582208
1983-0109-PHL,1983,Natural,Geophysical,Earthquake,Kill,Philippines (the),19,176,1725,,1901,2227,38.9583793
1983-0067-IDN,1983,Natural,Geophysical,Earthquake,Kill,Indonesia,,100,,,100,1000,38.9583793
1983-0088-IDN,1983,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,2500,,2500,,38.9583793
1983-0095-IDN,1983,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,7101,,7101,25500,38.9583793
1983-0119-IDN,1983,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,6334,,6334,149690,38.9583793
1983-0524-IDN,1983,Natural,Hydrological,Landslide,Kill,Indonesia,21,,,,,,38.9583793
1983-0050-IDN,1983,Natural,Biological,Epidemic,Kill,Indonesia,120,,,,,,38.9583793
1983-0090-IDN,1983,Natural,Hydrological,Flood,Kill,Indonesia,11,,2000,,2000,,38.9583793
1983-0126-IDN,1983,Natural,Hydrological,Flood,Affect,Indonesia,2,,5000,,5000,,38.9583793
1983-0154-IDN,1983,Natural,Hydrological,Flood,Affect,Indonesia,7,17,410480,,410497,7007,38.9583793
1983-0017-MMR,1983,Natural,Biological,Epidemic,Kill,Myanmar,10,,800,,800,,38.9583793
1983-0152-MYS,1983,Natural,Hydrological,Flood,Kill,Malaysia,10,,15000,,15000,,38.9583793
1983-0254-PHL,1983,Natural,Meteorological,Storm,Affect,Philippines (the),2,,100,,100,,38.9583793
1983-0096-PHL,1983,Natural,Meteorological,Storm,Kill,Philippines (the),115,27,120811,29054,149892,1640,38.9583793
1983-0219-PHL,1983,Natural,Meteorological,Storm,Affect,Philippines (the),3,,1489,195,1684,430,38.9583793
1983-0220-PHL,1983,Natural,Meteorological,Storm,Affect,Philippines (the),8,1,18242,611,18854,2250,38.9583793
1983-9016-PHL,1983,Natural,Climatological,Drought,,Philippines (the),,,1691060,,1691060,,38.9583793
1983-0255-PHL,1983,Natural,Hydrological,Flood,Kill,Philippines (the),11,,1835,,1835,3,38.9583793
1984-0015-IDN,1984,Natural,Geophysical,Earthquake,OFDA,Indonesia,2,89,,,89,,40.63380386
1984-0072-IDN,1984,Natural,Geophysical,Earthquake,Affect,Indonesia,,108,1750,,1858,1000,40.63380386
1984-0042-IDN,1984,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,6000,,6000,,40.63380386
1984-0081-IDN,1984,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,17000,,17000,,40.63380386
1984-0328-IDN,1984,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,5000,,5000,,40.63380386
1984-0118-IDN,1984,Natural,Biological,Epidemic,Kill,Indonesia,105,,4000,,4000,,40.63380386
1984-9013-IDN,1984,Natural,Climatological,Drought,,Indonesia,230,,2000,,2000,,40.63380386
1984-0037-IDN,1984,Natural,Hydrological,Flood,Affect,Indonesia,,,2700,,2700,1500,40.63380386
1984-0121-IDN,1984,Natural,Hydrological,Flood,Affect,Indonesia,,,37500,,37500,,40.63380386
1984-0327-IDN,1984,Natural,Hydrological,Flood,Kill,Indonesia,26,,300000,20000,320000,,40.63380386
1984-0077-LAO,1984,Natural,Hydrological,Flood,Kill,Lao People's Democratic Republic (the),14,,2000,,2000,,40.63380386
1984-0083-PHL,1984,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,70000,,70000,,40.63380386
1984-0073-PHL,1984,Natural,Meteorological,Storm,Kill,Philippines (the),138,103,475899,7745,483747,23000,40.63380386
1984-0105-PHL,1984,Natural,Meteorological,Storm,Kill,Philippines (the),1079,197,1495738,765965,2261900,96600,40.63380386
1984-0185-PHL,1984,Natural,Meteorological,Storm,Kill,Philippines (the),1399,2565,1237224,547076,1786865,216700,40.63380386
1984-0186-PHL,1984,Natural,Meteorological,Storm,Kill,Philippines (the),63,,1954,740,2694,190,40.63380386
1985-0110-IDN,1985,Natural,Geophysical,Earthquake,Kill,Indonesia,10,7,,,7,,42.07452677
1985-0083-IDN,1985,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,1078,,1078,,42.07452677
1985-0075-IDN,1985,Natural,Hydrological,Flood,Kill,Indonesia,11,,2000,,2000,,42.07452677
1985-0009-IDN,1985,Natural,Hydrological,Flood,Kill,Indonesia,21,,300,,300,,42.07452677
1985-0062-IDN,1985,Natural,Hydrological,Flood,Kill,Indonesia,10,,2000,,2000,,42.07452677
1985-0025-IDN,1985,Natural,Meteorological,Storm,Affect,Indonesia,,,10000,,10000,,42.07452677
1985-0168-LAO,1985,Natural,Biological,Epidemic,OFDA,Lao People's Democratic Republic (the),,,,,,,42.07452677
1985-0171-PHL,1985,Natural,Geophysical,Earthquake,Affect,Philippines (the),2,25,150,,175,,42.07452677
1985-0125-PHL,1985,Natural,Geophysical,Mass movement (dry),Kill,Philippines (the),300,,,,,,42.07452677
1985-0342-PHL,1985,Natural,Hydrological,Flood,Kill,Philippines (the),54,,444,,444,,42.07452677
1985-0124-PHL,1985,Natural,Meteorological,Storm,Kill,Philippines (the),81,24,1183602,,1183626,62373,42.07452677
1985-0190-PHL,1985,Natural,Meteorological,Storm,Kill,Philippines (the),100,,420000,200,420200,20000,42.07452677
1985-0192-PHL,1985,Natural,Meteorological,Storm,Affect,Philippines (the),5,7,85,56,148,660,42.07452677
1985-0117-PHL,1985,Natural,Hydrological,Flood,Kill,Philippines (the),25,,5000,,5000,,42.07452677
1986-0126-IDN,1986,Natural,Hydrological,Flood,Kill,Indonesia,96,,20000,,20000,,42.87312983
1986-0089-IDN,1986,Natural,Biological,Epidemic,Kill,Indonesia,59,,700,,700,,42.87312983
1986-0016-IDN,1986,Natural,Biological,Epidemic,Affect,Indonesia,,,500000,,500000,,42.87312983
1986-9128-IDN,1986,Natural,Climatological,Drought,,Indonesia,84,,1000,,1000,,42.87312983
1986-0053-IDN,1986,Natural,Hydrological,Flood,Affect,Indonesia,2,,38000,,38000,,42.87312983
1986-0222-IDN,1986,Natural,Hydrological,Flood,Kill,Indonesia,77,,19000,,19000,,42.87312983
1986-0223-IDN,1986,Natural,Hydrological,Flood,Affect,Indonesia,,,,50000,50000,,42.87312983
1986-0136-MYS,1986,Natural,Hydrological,Flood,Kill,Malaysia,11,,25000,,25000,11500,42.87312983
1986-0080-PHL,1986,Natural,Meteorological,Storm,Kill,Philippines (the),109,16,644608,2689,647313,30710,42.87312983
1986-0104-PHL,1986,Natural,Meteorological,Storm,Kill,Philippines (the),23,4,482700,,482704,13150,42.87312983
1986-0122-PHL,1986,Natural,Meteorological,Storm,Kill,Philippines (the),22,26,82529,,82555,1200,42.87312983
1986-0151-PHL,1986,Natural,Meteorological,Storm,Affect,Philippines (the),4,,3082,52,3134,1400,42.87312983
1986-0152-PHL,1986,Natural,Meteorological,Storm,Affect,Philippines (the),2,,259,49,308,36000,42.87312983
1986-0153-PHL,1986,Natural,Meteorological,Storm,Kill,Philippines (the),16,108,22771,3843,26722,4000,42.87312983
1986-0155-PHL,1986,Natural,Hydrological,Flood,Affect,Philippines (the),3,3,612,,615,56,42.87312983
1987-0213-IDN,1987,Natural,Geophysical,Earthquake,Kill,Indonesia,125,100,16000,1000,17100,5000,44.44423842
1987-9027-IDN,1987,Natural,Climatological,Drought,,Indonesia,,,,,,,44.44423842
1987-0086-IDN,1987,Natural,Geophysical,Earthquake,Affect,Indonesia,2,1,15000,,15001,,44.44423842
1987-0094-IDN,1987,Natural,Geophysical,Mass movement (dry),Kill,Indonesia,131,50,651,,701,1000,44.44423842
1987-0234-IDN,1987,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,13000,,13000,,44.44423842
1987-0063-IDN,1987,Natural,Hydrological,Flood,Affect,Indonesia,3,,26000,,26000,1700,44.44423842
1987-0087-IDN,1987,Natural,Hydrological,Flood,Kill,Indonesia,37,,,,,4000,44.44423842
1987-0228-IDN,1987,Natural,Hydrological,Flood,Kill,Indonesia,38,84,,800,884,,44.44423842
1987-0232-IDN,1987,Natural,Hydrological,Flood,Kill,Indonesia,119,,,,,60000,44.44423842
1987-0589-IDN,1987,Natural,Hydrological,Flood,Affect,Indonesia,4,,2000,,2000,,44.44423842
1987-9026-KHM,1987,Natural,Climatological,Drought,,Cambodia,,,,,,,44.44423842
1987-0065-LAO,1987,Natural,Biological,Epidemic,Kill,Lao People's Democratic Republic (the),63,,2000,,2000,,44.44423842
1987-9028-LAO,1987,Natural,Climatological,Drought,,Lao People's Democratic Republic (the),,,,,,,44.44423842
1987-0221-MYS,1987,Natural,Hydrological,Flood,Affect,Malaysia,3,,2576,,2576,,44.44423842
1987-0146-PHL,1987,Natural,Meteorological,Storm,Kill,Philippines (the),85,425,971500,297900,1269825,98600,44.44423842
1987-0197-PHL,1987,Natural,Meteorological,Storm,Kill,Philippines (the),100,79,60504,18396,78979,25000,44.44423842
1987-0212-PHL,1987,Natural,Meteorological,Storm,Kill,Philippines (the),882,927,1818185,,1819112,56000,44.44423842
1987-0239-PHL,1987,Natural,Meteorological,Storm,Affect,Philippines (the),5,,13247,89,13336,5600,44.44423842
1987-0240-PHL,1987,Natural,Meteorological,Storm,Kill,Philippines (the),22,35,47591,8754,56380,8500,44.44423842
1987-9030-PHL,1987,Natural,Climatological,Drought,,Philippines (the),,,1002100,,1002100,,44.44423842
1988-0205-IDN,1988,Natural,Geophysical,Volcanic activity,Affect,Indonesia,7,,7500,2500,10000,,46.25655683
1988-0314-IDN,1988,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,1570,,1570,,46.25655683
1988-0494-IDN,1988,Natural,Hydrological,Flood,Kill,Indonesia,158,,100000,,100000,4600,46.25655683
1988-0504-IDN,1988,Natural,Hydrological,Flood,Kill,Indonesia,21,,,,,,46.25655683
1988-0080-IDN,1988,Natural,Hydrological,Landslide,Kill,Indonesia,43,,,,,,46.25655683
1988-0509-MYS,1988,Natural,Hydrological,Flood,Kill,Malaysia,27,,60000,,60000,,46.25655683
1988-0477-PHL,1988,Natural,Meteorological,Storm,Affect,Philippines (the),,,20000,,20000,,46.25655683
1988-0558-PHL,1988,Natural,Hydrological,Landslide,Kill,Philippines (the),24,,,,,,46.25655683
1988-0559-PHL,1988,Natural,Hydrological,Landslide,Kill,Philippines (the),30,,,,,,46.25655683
1988-0231-PHL,1988,Natural,Meteorological,Storm,Affect,Philippines (the),36,,56000,,56000,1000,46.25655683
1988-0312-PHL,1988,Natural,Meteorological,Storm,Affect,Philippines (the),6,,96120,21235,117355,11516,46.25655683
1988-0480-PHL,1988,Natural,Meteorological,Storm,Kill,Philippines (the),416,208,3250000,,3250208,240500,46.25655683
1988-0506-PHL,1988,Natural,Meteorological,Storm,Kill,Philippines (the),289,29,1000000,45000,1045029,149060,46.25655683
1988-0557-PHL,1988,Natural,Meteorological,Storm,Kill,Philippines (the),41,1,28826,86,28913,940,46.25655683
1978-0187-THA,1978,Natural,Hydrological,Flood,Affect,Thailand,,,400000,,400000,,25.51591532
1978-0260-THA,1978,Natural,Meteorological,Storm,Kill,Thailand,50,,,,,,25.51591532
1978-0244-VNM,1978,Natural,Biological,Insect infestation,SigDam,Viet Nam,,,,,,,25.51591532
1980-0280-THA,1980,Natural,Hydrological,Flood,Kill,Thailand,57,,630000,,630000,59700,32.23389323
1980-0068-VNM,1980,Natural,Meteorological,Storm,Kill,Viet Nam,132,210,6460000,164500,6624710,,32.23389323
1980-0090-VNM,1980,Natural,Meteorological,Storm,Kill,Viet Nam,176,174,8527000,500000,9027174,,32.23389323
1980-0106-VNM,1980,Natural,Hydrological,Flood,Kill,Viet Nam,94,,628000,,628000,,32.23389323
1981-0064-THA,1981,Natural,Meteorological,Storm,Affect,Thailand,,,43000,,43000,,35.56517152
1981-0104-THA,1981,Natural,Meteorological,Storm,Kill,Thailand,55,,,,,13000,35.56517152
1982-0112-VNM,1982,Natural,Meteorological,Storm,Kill,Viet Nam,70,290,1300000,,1300290,,37.74582208
1983-0105-THA,1983,Natural,Hydrological,Flood,Kill,Thailand,50,,1000000,,1000000,,38.9583793
1983-0077-VNM,1983,Natural,Meteorological,Storm,Kill,Viet Nam,76,,,,,,38.9583793
1983-0125-VNM,1983,Natural,Meteorological,Storm,Kill,Viet Nam,578,324,580000,265000,845324,,38.9583793
1983-0452-VNM,1983,Natural,Meteorological,Storm,Kill,Viet Nam,80,184,,336360,336544,,38.9583793
1984-0116-THA,1984,Natural,Hydrological,Flood,Kill,Thailand,17,31,34540,,34571,3000,40.63380386
1984-0353-THA,1984,Natural,Hydrological,Flood,Affect,Thailand,,,751600,,751600,400000,40.63380386
1984-0035-VNM,1984,Natural,Meteorological,Storm,Kill,Viet Nam,21,94,,1000,1094,,40.63380386
1984-0103-VNM,1984,Natural,Meteorological,Storm,Kill,Viet Nam,134,289,650416,,650705,,40.63380386
1984-0090-VNM,1984,Natural,Hydrological,Flood,Kill,Viet Nam,33,,38000,,38000,,40.63380386
1985-0016-THA,1985,Natural,Hydrological,Flood,Kill,Thailand,18,,7640,,7640,3600,42.07452677
1985-0106-VNM,1985,Natural,Hydrological,Flood,Kill,Viet Nam,93,,2800000,,2800000,,42.07452677
1985-0114-VNM,1985,Natural,Meteorological,Storm,Kill,Viet Nam,798,257,225000,225000,450257,,42.07452677
1986-0059-THA,1986,Natural,Hydrological,Flood,Kill,Thailand,42,21,27780,,27801,2000,42.87312983
1986-0139-VNM,1986,Natural,Hydrological,Flood,Kill,Viet Nam,165,,,,,,42.87312983
1986-0109-VNM,1986,Natural,Meteorological,Storm,Kill,Viet Nam,435,2502,2500000,,2502502,,42.87312983
1987-0219-THA,1987,Natural,Hydrological,Flood,Kill,Thailand,24,,,,,7200,44.44423842
1987-0200-VNM,1987,Natural,Meteorological,Storm,Kill,Viet Nam,101,211,584800,352000,937011,,44.44423842
1987-9029-VNM,1987,Natural,Climatological,Drought,,Viet Nam,,,,,,,44.44423842
1987-0363-VNM,1987,Natural,Meteorological,Storm,Kill,Viet Nam,22,,,,,,44.44423842
1988-0512-THA,1988,Natural,Hydrological,Flood,Kill,Thailand,664,1878,1112941,,1114819,169146,46.25655683
1988-0460-VNM,1988,Natural,Meteorological,Storm,Kill,Viet Nam,137,,600000,,600000,,46.25655683
1988-0503-VNM,1988,Natural,Meteorological,Storm,Kill,Viet Nam,20,,720000,,720000,,46.25655683
1988-9522-LAO,1988,Natural,Climatological,Drought,,Lao People's Democratic Republic (the),,,730000,,730000,,46.25655683
1989-0092-IDN,1989,Natural,Geophysical,Earthquake,Kill,Indonesia,120,196,17000,,17196,,48.48936537
1989-0045-IDN,1989,Natural,Geophysical,Earthquake,Affect,Indonesia,,,,5500,5500,,48.48936537
1989-0218-IDN,1989,Natural,Geophysical,Earthquake,Affect,Indonesia,,7,190,,197,,48.48936537
1989-0152-IDN,1989,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,3000,,3000,,48.48936537
1989-0026-IDN,1989,Natural,Hydrological,Landslide,Affect,Indonesia,6,6,11595,,11601,341,48.48936537
1989-0159-IDN,1989,Natural,Hydrological,Flood,Affect,Indonesia,,,29000,,29000,,48.48936537
1989-0262-IDN,1989,Natural,Hydrological,Flood,Kill,Indonesia,18,,32500,,32500,,48.48936537
1989-0272-PHL,1989,Natural,Hydrological,Flood,Affect,Philippines (the),,,47500,,47500,,48.48936537
1989-0154-PHL,1989,Natural,Hydrological,Landslide,Kill,Philippines (the),13,200,1000,,1200,,48.48936537
1989-0193-PHL,1989,Natural,Hydrological,Landslide,Kill,Philippines (the),14,10,67,,77,,48.48936537
1989-0584-PHL,1989,Natural,Hydrological,Landslide,Kill,Philippines (the),72,,,,,,48.48936537
1989-0120-PHL,1989,Natural,Meteorological,Storm,Kill,Philippines (the),97,382,486000,,486382,61000,48.48936537
1989-0125-PHL,1989,Natural,Meteorological,Storm,Kill,Philippines (the),58,105,660000,76500,736605,59200,48.48936537
1989-0126-PHL,1989,Natural,Meteorological,Storm,Kill,Philippines (the),30,279,458400,,458679,35400,48.48936537
1989-0127-PHL,1989,Natural,Meteorological,Storm,Kill,Philippines (the),147,191,205000,84000,289191,8000,48.48936537
1989-0129-PHL,1989,Natural,Meteorological,Storm,Kill,Philippines (the),22,21,140000,,140021,4300,48.48936537
1989-0132-PHL,1989,Natural,Meteorological,Storm,Kill,Philippines (the),11,1,12837,212,13050,325,48.48936537
1989-0187-PHL,1989,Natural,Meteorological,Storm,Kill,Philippines (the),13,3,12282,652,12937,2860,48.48936537
1989-0094-PHL,1989,Natural,Hydrological,Flood,Kill,Philippines (the),44,11,260000,,260011,6000,48.48936537
1990-0005-IDN,1990,Natural,Hydrological,Flood,Kill,Indonesia,169,,21000,,21000,4800,51.106795
1990-0593-IDN,1990,Natural,Geophysical,Earthquake,OFDA,Indonesia,1,32,2140,,2172,2100,51.106795
1990-0040-PHL,1990,Natural,Geophysical,Earthquake,Kill,Philippines (the),2412,3513,1594040,,1597553,369600,51.106795
1990-0616-PHL,1990,Natural,Hydrological,Flood,Kill,Philippines (the),28,,50000,,50000,,51.106795
1990-0009-PHL,1990,Natural,Geophysical,Earthquake,Affect,Philippines (the),1,4,34500,,34504,900,51.106795
1990-0017-IDN,1990,Natural,Geophysical,Earthquake,OFDA,Indonesia,5,36,7000,,7036,,51.106795
1990-0702-IDN,1990,Natural,Geophysical,Earthquake,Affected,Indonesia,,103,,,103,,51.106795
1990-0012-IDN,1990,Natural,Geophysical,Volcanic activity,Kill,Indonesia,33,,10265,,10265,8000,51.106795
1990-0239-IDN,1990,Natural,Biological,Epidemic,Kill,Indonesia,50,,,,,,51.106795
1990-0709-IDN,1990,Natural,Hydrological,Flood,Kill,Indonesia,22,,,,,,51.106795
1990-0028-PHL,1990,Natural,Geophysical,Earthquake,Declar,Philippines (the),4,15,,,15,,51.106795
1990-0027-PHL,1990,Natural,Hydrological,Flood,Kill,Philippines (the),98,,236,,236,43,51.106795
1990-0025-PHL,1990,Natural,Meteorological,Storm,Kill,Philippines (the),64,14,160000,,160014,,51.106795
1990-0122-PHL,1990,Natural,Meteorological,Storm,Kill,Philippines (the),503,1274,5048275,1110020,6159569,388500,51.106795
1990-0400-PHL,1990,Natural,Meteorological,Storm,Kill,Philippines (the),85,,,,,,51.106795
1990-0401-PHL,1990,Natural,Meteorological,Storm,Kill,Philippines (the),85,,,,,,51.106795
1990-0687-PHL,1990,Natural,Meteorological,Storm,Regional,Philippines (the),,,,,,,51.106795
1990-0625-PHL,1990,Natural,Biological,Epidemic,Kill,Philippines (the),21,,200,,200,,51.106795
1990-9707-PHL,1990,Natural,Climatological,Drought,,Philippines (the),,,254282,,254282,64000,51.106795
1990-0645-PHL,1990,Natural,Hydrological,Flood,Kill,Philippines (the),50,,662500,,662500,,51.106795
1991-0132-PHL,1991,Natural,Geophysical,Volcanic activity,Kill,Philippines (the),640,195,1035870,,1036065,211000,53.27115662
1991-0383-PHL,1991,Natural,Meteorological,Storm,Kill,Philippines (the),5956,3050,598454,45750,647254,100000,53.27115662
1991-0418-IDN,1991,Natural,Climatological,Wildfire,Kill,Indonesia,57,8,,,8,13200,53.27115662
1991-0533-PHL,1991,Natural,Hydrological,Flood,Kill,Philippines (the),50,,,,,,53.27115662
1991-0124-IDN,1991,Natural,Geophysical,Earthquake,OFDA,Indonesia,,,1000,,1000,,53.27115662
1991-0165-IDN,1991,Natural,Geophysical,Earthquake,Kill,Indonesia,28,191,15000,1000,16191,18000,53.27115662
1991-0417-IDN,1991,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,7679,,7679,1000,53.27115662
1991-0512-IDN,1991,Natural,Hydrological,Flood,Kill,Indonesia,97,,,,,,53.27115662
1991-0692-IDN,1991,Natural,Hydrological,Flood,Kill,Indonesia,15,,240000,,240000,14800,53.27115662
1991-0010-IDN,1991,Natural,Hydrological,Landslide,Kill,Indonesia,33,,,,,,53.27115662
1991-0084-IDN,1991,Natural,Biological,Epidemic,Kill,Indonesia,55,,6000,,6000,,53.27115662
1991-0668-IDN,1991,Natural,Biological,Epidemic,Kill,Indonesia,48,,,,,,53.27115662
1991-0672-IDN,1991,Natural,Biological,Epidemic,Kill,Indonesia,35,,,,,,53.27115662
1991-0669-IDN,1991,Natural,Biological,Epidemic,Kill,Indonesia,41,,,,,,53.27115662
1991-0154-IDN,1991,Natural,Biological,Epidemic,Kill,Indonesia,115,,9000,,9000,,53.27115662
1991-0211-KHM,1991,Natural,Hydrological,Flood,Kill,Cambodia,100,,650000,250000,900000,150000,53.27115662
1991-0761-LAO,1991,Natural,Hydrological,Flood,Affect,Lao People's Democratic Republic (the),,,332000,,332000,,53.27115662
1991-9195-LAO,1991,Natural,Climatological,Drought,,Lao People's Democratic Republic (the),,,,,,1000,53.27115662
1991-0701-LAO,1991,Natural,Meteorological,Storm,Affect,Lao People's Democratic Republic (the),,,38315,,38315,150,53.27115662
1991-0001-MMR,1991,Natural,Geophysical,Earthquake,Affect,Myanmar,,,160,,160,,53.27115662
1991-0168-MMR,1991,Natural,Hydrological,Flood,Kill,Myanmar,23,,359976,,359976,79840,53.27115662
1991-0771-MYS,1991,Natural,Biological,Epidemic,Kill,Malaysia,263,,3750,,3750,,53.27115662
1991-0079-PHL,1991,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,,2000,2000,,53.27115662
1991-0087-PHL,1991,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,,3800,3800,,53.27115662
1991-0379-PHL,1991,Natural,Hydrological,Flood,Kill,Philippines (the),10,,,,,,53.27115662
1991-0708-PHL,1991,Natural,Hydrological,Flood,Kill,Philippines (the),10,,,823,823,1300,53.27115662
1991-0174-PHL,1991,Natural,Meteorological,Storm,Affect,Philippines (the),2,,,10000,10000,,53.27115662
1991-0382-PHL,1991,Natural,Meteorological,Storm,Kill,Philippines (the),65,38,300000,16000,316038,90000,53.27115662
1991-0517-PHL,1991,Natural,Meteorological,Storm,Unknown,Philippines (the),47,21,505756,,505777,85000,53.27115662
1991-0521-PHL,1991,Natural,Meteorological,Storm,Affect,Philippines (the),4,,,2500,2500,,53.27115662
1991-0525-PHL,1991,Natural,Meteorological,Storm,Unknown,Philippines (the),9,,90296,,90296,,53.27115662
1992-0296-PHL,1992,Natural,Meteorological,Storm,Kill,Philippines (the),42,77,134417,,134494,,54.88464241
1992-0057-PHL,1992,Natural,Hydrological,Flood,Kill,Philippines (the),60,13,942764,,942777,74200,54.88464241
1992-0163-IDN,1992,Natural,Geophysical,Earthquake,Kill,Indonesia,2500,2103,,90000,92103,100000,54.88464241
1992-0295-PHL,1992,Natural,Meteorological,Storm,Kill,Philippines (the),22,,5135,,5135,,54.88464241
1992-0247-IDN,1992,Natural,Geophysical,Earthquake,Affect,Indonesia,,1,,7500,7501,,54.88464241
1992-0148-IDN,1992,Natural,Hydrological,Landslide,Kill,Indonesia,75,,37000,,37000,5400,54.88464241
1992-0484-IDN,1992,Natural,Hydrological,Flood,Kill,Indonesia,57,249378,9330,6845,265553,,54.88464241
1992-0261-KHM,1992,Natural,Biological,Epidemic,Kill,Cambodia,50,,400,,400,,54.88464241
1992-0043-KHM,1992,Natural,Biological,Epidemic,Affect,Cambodia,,,380000,,380000,,54.88464241
1992-0488-LAO,1992,Natural,Hydrological,Flood,Kill,Lao People's Democratic Republic (the),10,150,,,150,21828,54.88464241
1992-0470-LAO,1992,Natural,Meteorological,Storm,Kill,Lao People's Democratic Republic (the),22,102,268775,,268877,3650,54.88464241
1992-0461-LAO,1992,Natural,Biological,Epidemic,Kill,Lao People's Democratic Republic (the),143,,,,,,54.88464241
1992-0489-MMR,1992,Natural,Hydrological,Flood,Affect,Myanmar,5,,4625,,4625,55115,54.88464241
1992-0030-PHL,1992,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,1578,,1578,,54.88464241
1992-0492-PHL,1992,Natural,Meteorological,Storm,Kill,Philippines (the),11,1,171603,1965,173569,,54.88464241
1992-0294-PHL,1992,Natural,Biological,Epidemic,Kill,Philippines (the),70,,,,,,54.88464241
1992-0491-PHL,1992,Natural,Meteorological,Storm,Kill,Philippines (the),26,,725956,7140,733096,,54.88464241
1992-0493-PHL,1992,Natural,Hydrological,Flood,Kill,Philippines (the),19,,58093,162,58255,,54.88464241
1992-0505-PHL,1992,Natural,Hydrological,Flood,Affect,Philippines (the),,,52800,,52800,,54.88464241
1993-0109-IDN,1993,Natural,Geophysical,Volcanic activity,Affect,Indonesia,1,12,3000,,3012,,56.50464564
1993-0110-IDN,1993,Natural,Geophysical,Volcanic activity,Affect,Indonesia,2,,452,,452,,56.50464564
1993-0560-IDN,1993,Natural,Hydrological,Flood,Kill,Indonesia,72,,8000,,8000,,56.50464564
1993-0003-IDN,1993,Natural,Hydrological,Flood,Kill,Indonesia,59,,259553,,259553,19301,56.50464564
1993-0474-LAO,1993,Natural,Meteorological,Storm,Affect,Lao People's Democratic Republic (the),8,120,,,120,302151,56.50464564
1993-0227-MYS,1993,Natural,Geophysical,Mass movement (dry),Kill,Malaysia,72,,,,,,56.50464564
1993-0234-MYS,1993,Natural,Hydrological,Flood,Kill,Malaysia,30,,20000,5000,25000,,56.50464564
1993-0008-PHL,1993,Natural,Geophysical,Volcanic activity,Kill,Philippines (the),79,9,108000,57000,165009,488,56.50464564
1993-0113-PHL,1993,Natural,Hydrological,Flood,Affect,Philippines (the),23,,90000,,90000,37000,56.50464564
1993-0221-PHL,1993,Natural,Hydrological,Flood,Kill,Philippines (the),25,4,,,4,,56.50464564
1993-0295-PHL,1993,Natural,Hydrological,Landslide,Kill,Philippines (the),21,,,,,,56.50464564
1993-0055-PHL,1993,Natural,Meteorological,Storm,Affect,Philippines (the),2,,29413,14322,43735,442,56.50464564
1993-0077-PHL,1993,Natural,Meteorological,Storm,Kill,Philippines (the),124,35,1941531,,1941566,188000,56.50464564
1993-0087-PHL,1993,Natural,Meteorological,Storm,Kill,Philippines (the),311,524,994478,164800,1159802,50000,56.50464564
1993-0088-PHL,1993,Natural,Meteorological,Storm,Kill,Philippines (the),1,,,,,2000,56.50464564
1993-0228-PHL,1993,Natural,Meteorological,Storm,Kill,Philippines (the),52,7,366217,,366224,17000,56.50464564
1993-0054-PHL,1993,Natural,Hydrological,Flood,Affect,Philippines (the),5,,258080,,258080,2600,56.50464564
1993-0298-PHL,1993,Natural,Meteorological,Storm,Kill,Philippines (the),28,,,70000,70000,40000,56.50464564
1994-0007-IDN,1994,Natural,Geophysical,Earthquake,Kill,Indonesia,207,1449,37620,10330,49399,170476,57.97797424
