Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Entry Criteria,Country,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),CPI
1976-0054-PHL,1976,Natural,Geophysical,Earthquake,Kill,Philippines (the),6000,6348,175000,,181348,134000,22.25960139
1976-0156-MMR,1976,Natural,Hydrological,Flood,Affect,Myanmar,,,,200000,200000,,22.25960139
1976-0061-PHL,1976,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,11510,,11510,679,22.25960139
1976-0091-PHL,1976,Natural,Hydrological,Flood,Affect,Philippines (the),8,,1565,,1565,,22.25960139
1976-0095-PHL,1976,Natural,Hydrological,Flood,Kill,Philippines (the),10,,14313,,14313,1553,22.25960139
1976-0038-PHL,1976,Natural,Meteorological,Storm,Kill,Philippines (the),274,,2700000,,2700000,85000,22.25960139
1976-0086-PHL,1976,Natural,Meteorological,Storm,Affect,Philippines (the),3,,2702,110,2812,84100,22.25960139
1976-0089-PHL,1976,Natural,Meteorological,Storm,Kill,Philippines (the),110,17,1741,,1758,9326,22.25960139
1977-9029-LAO,1977,Natural,Climatological,Drought,,Lao People's Democratic Republic (the),,,3500000,,3500000,,23.706851
1977-0111-MMR,1977,Natural,Hydrological,Flood,Affect,Myanmar,3,,3000,,3000,,23.706851
1977-0065-MYS,1977,Natural,Biological,Epidemic,OFDA,Malaysia,,,50,,50,,23.706851
1977-0050-PHL,1977,Natural,Geophysical,Earthquake,Affect,Philippines (the),1,30,60000,,60030,100,23.706851
1977-0119-PHL,1977,Natural,Meteorological,Storm,Kill,Philippines (the),60,,5000,,5000,800,23.706851
1977-0134-PHL,1977,Natural,Meteorological,Storm,Kill,Philippines (the),40,115,133141,15679,148935,3600,23.706851
1977-0155-PHL,1977,Natural,Meteorological,Storm,Affect,Philippines (the),4,3,860,,863,,23.706851
1977-0157-PHL,1977,Natural,Meteorological,Storm,Affect,Philippines (the),,,921,,921,25,23.706851
1977-0114-PHL,1977,Natural,Biological,Epidemic,Declar,Philippines (the),7,,15,,15,,23.706851
1977-0162-PHL,1977,Natural,Biological,Epidemic,Kill,Philippines (the),50,,666,,666,,23.706851
1977-0164-PHL,1977,Natural,Biological,Epidemic,Kill,Philippines (the),18,,,,,,23.706851
1977-0086-PHL,1977,Natural,Meteorological,Storm,Affect,Philippines (the),,,2500,,2500,,23.706851
1977-0096-PHL,1977,Natural,Hydrological,Flood,Kill,Philippines (the),10,,4300,,4300,,23.706851
1977-0097-PHL,1977,Natural,Hydrological,Flood,Affect,Philippines (the),,,1500,,1500,,23.706851
1977-0161-PHL,1977,Natural,Hydrological,Flood,Kill,Philippines (the),14,,1499,,1499,1913,23.706851
1977-0123-THA,1977,Natural,Biological,Epidemic,Kill,Thailand,100,,2800,,2800,,23.706851
1978-0107-LAO,1978,Natural,Hydrological,Flood,Kill,Lao People's Democratic Republic (the),31,,459000,,459000,,25.51591532
1978-0070-MMR,1978,Natural,Meteorological,Storm,Affect,Myanmar,,,78000,54000,132000,,25.51591532
1978-0066-PHL,1978,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,25000,,25000,,25.51591532
1978-0101-PHL,1978,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,1000,,1000,,25.51591532
1978-0058-PHL,1978,Natural,Meteorological,Storm,Affect,Philippines (the),,,2500,,2500,,25.51591532
1978-0065-PHL,1978,Natural,Biological,Epidemic,Kill,Philippines (the),17,,,,,,25.51591532
1978-0102-PHL,1978,Natural,Hydrological,Flood,Kill,Philippines (the),53,,1000,,1000,,25.51591532
