Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1968-0049-MMR,1968,0049,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,North Arakan Coast,,,,Yes,,,,,Kph,,,,,1968,5,10,1968,5,10,1070,,60000,30000,90000,,,2500,13.60544609
1968-0044-MYS,1968,0044,Natural,Biological,Epidemic,Bacterial disease,,Cholera,OFDA,Malaysia,MYS,South-Eastern Asia,Asia,West Malaysia,,,,Yes,,,,,Vaccinated,,,,,1968,5,,1968,5,,2,,5,,5,,,,13.60544609
1968-0019-MYS,1968,0019,Natural,Meteorological,Storm,,,,Kill,Malaysia,MYS,South-Eastern Asia,Asia,"Johore, S. Lowlands",,,,,,,,,Kph,,,,,1968,1,7,1968,1,7,21,,10000,,10000,,,,13.60544609
1968-0041-PHL,1968,0041,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Mayon,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,"Albay province, Luzon",,,,Yes,,,,,,,,,,1968,4,20,1968,4,20,3,,45000,6000,51000,,,5000,13.60544609
1968-0065-PHL,1968,0065,Natural,Meteorological,Storm,Tropical cyclone,,Shirley,OFDA,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1968,8,17,1968,8,17,,,,,,,,,13.60544609
1968-0083-PHL,1968,0083,Natural,Meteorological,Storm,Tropical cyclone,,"Mamie, Nina, Ora",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"South Visayas, Samar, Luzon",,,,Yes,,,,,Kph,,,,,1968,11,22,1968,11,22,50,,187330,39313,226643,,,9600,13.60544609
1968-0024-PHL,1968,0024,Natural,Hydrological,Flood,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Mindanao,,,,,,,,,Km2,,,,,1968,1,16,1968,1,16,29,,,,,,,,13.60544609
1969-0086-LAO,1969,0086,Natural,Hydrological,Flood,,,,OFDA,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Vientiane plains,,,,Yes,,,,,Km2,,,,,1969,8,15,1969,8,15,,,,,,,,,14.34862782
1969-0115-PHL,1969,0115,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Kanlaon,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1969,10,5,1969,10,5,,,1700,,1700,,,,14.34862782
1969-0080-PHL,1969,0080,Natural,Meteorological,Storm,Tropical cyclone,,Viola,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North,,,,,,,,,Kph,,,,,1969,7,21,1969,7,21,11,,,,,,,,14.34862782
1970-0046-MMR,1970,0046,Natural,Hydrological,Flood,Flash flood,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,Pyinmana,,,,,,,,,Km2,,,,,1970,9,8,1970,9,8,90,,,,,,,,15.18633546
1970-0070-MYS,1970,0070,Natural,Hydrological,Flood,,,,Kill,Malaysia,MYS,South-Eastern Asia,Asia,"West Malaysia, Capital",,,,Yes,,,,,Km2,,,,,1970,12,26,1970,12,26,61,,243000,,243000,,,37000,15.18633546
1970-0004-PHL,1970,0004,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Richter,15.791,121.630,,,1970,4,7,1970,4,7,14,200,,,200,,,,15.18633546
1970-0043-PHL,1970,0043,Natural,Meteorological,Storm,Tropical cyclone,,Fran & Georgia,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"(1) Bulacan, Pampg (Manila) - (2) Aurora (Quezon province)",,,,Yes,,,,,Kph,,,,,1970,8,31,1970,8,31,137,,78000,67200,145200,,,2353,15.18633546
1970-0056-PHL,1970,0056,Natural,Meteorological,Storm,Tropical cyclone,,"Joan, Kate",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"(1) Bicol area, (2) Mindanao",,,,Yes,,,,,Kph,,,,,1970,10,13,1970,10,13,1551,985,1214000,,1214985,,,85500,15.18633546
1970-0064-PHL,1970,0064,Natural,Meteorological,Storm,Tropical cyclone,,Patsy,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Manila (Quezon province),,,,Yes,,,,,Kph,,,,,1970,11,19,1970,11,19,786,2075,430000,,432075,,,97656,15.18633546
1970-0076-PHL,1970,0076,Natural,Meteorological,Storm,Tropical cyclone,,Oyang,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,4,1970,9,4,42,,,,,,,,15.18633546
1970-0077-PHL,1970,0077,Natural,Meteorological,Storm,Tropical cyclone,,Katy (Pitang),Affect,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,8,1970,9,8,,,1326,,1326,,,598,15.18633546
1970-0078-PHL,1970,0078,Natural,Meteorological,Storm,Tropical cyclone,,Sening,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,12,1970,9,12,575,1593,,,1593,,,12110,15.18633546
1970-0079-PHL,1970,0079,Natural,Meteorological,Storm,Tropical cyclone,,Titang,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,9,16,1970,9,16,631,76,,,76,,,47397,15.18633546
1970-0080-PHL,1970,0080,Natural,Meteorological,Storm,Tropical cyclone,,Yoling,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1970,11,17,1970,11,17,80,248,17044,,17292,,,12785,15.18633546
1971-0048-LAO,1971,0048,Natural,Hydrological,Flood,,,,Kill,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,Vientiane,,,,Yes,,,,,Km2,,,,,1971,8,17,1971,8,17,14,,100000,15000,115000,,,200,15.83825463
1971-0026-PHL,1971,0026,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Visayas, Palawan",,,,,,,,,Kph,,,,,1971,4,22,1971,4,22,95,,,,,,,700,15.83825463
1971-0036-PHL,1971,0036,Natural,Meteorological,Storm,Tropical cyclone,,Dinah (Herming),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1971,5,24,1971,5,24,57,3,,32500,32503,,,590,15.83825463
1971-0054-PHL,1971,0054,Natural,Meteorological,Storm,Tropical cyclone,,Elaine,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1971,10,2,1971,10,2,37,,,12000,12000,,,,15.83825463
1971-0055-PHL,1971,0055,Natural,Meteorological,Storm,Tropical cyclone,,Gloria,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,North Luzon,,,,,,,,,Kph,,,,,1971,10,9,1971,10,9,57,8,,2000,2008,,,,15.83825463
